status,email,role,notes
skipped,customer.test.001@chinamall.local,test,"customer.test.001@chinamall.local (already exists)"
skipped,customer.test.002@chinamall.local,test,"customer.test.002@chinamall.local (already exists)"
skipped,customer.test.003@chinamall.local,test,"customer.test.003@chinamall.local (already exists)"
skipped,customer.test.004@chinamall.local,test,"customer.test.004@chinamall.local (already exists)"
skipped,customer.test.005@chinamall.local,test,"customer.test.005@chinamall.local (already exists)"
skipped,customer.test.006@chinamall.local,test,"customer.test.006@chinamall.local (already exists)"
skipped,customer.test.007@chinamall.local,test,"customer.test.007@chinamall.local (already exists)"
skipped,customer.test.008@chinamall.local,test,"customer.test.008@chinamall.local (already exists)"
skipped,customer.test.009@chinamall.local,test,"customer.test.009@chinamall.local (already exists)"
skipped,customer.test.010@chinamall.local,test,"customer.test.010@chinamall.local (already exists)"
skipped,customer.test.011@chinamall.local,test,"customer.test.011@chinamall.local (already exists)"
skipped,customer.test.012@chinamall.local,test,"customer.test.012@chinamall.local (already exists)"
skipped,customer.test.013@chinamall.local,test,"customer.test.013@chinamall.local (already exists)"
skipped,customer.test.014@chinamall.local,test,"customer.test.014@chinamall.local (already exists)"
skipped,customer.test.015@chinamall.local,test,"customer.test.015@chinamall.local (already exists)"
skipped,customer.test.016@chinamall.local,test,"customer.test.016@chinamall.local (already exists)"
skipped,customer.test.017@chinamall.local,test,"customer.test.017@chinamall.local (already exists)"
skipped,customer.test.018@chinamall.local,test,"customer.test.018@chinamall.local (already exists)"
skipped,customer.test.019@chinamall.local,test,"customer.test.019@chinamall.local (already exists)"
skipped,customer.test.020@chinamall.local,test,"customer.test.020@chinamall.local (already exists)"
skipped,customer.test.021@chinamall.local,test,"customer.test.021@chinamall.local (already exists)"
skipped,customer.test.022@chinamall.local,test,"customer.test.022@chinamall.local (already exists)"
skipped,customer.test.023@chinamall.local,test,"customer.test.023@chinamall.local (already exists)"
skipped,customer.test.024@chinamall.local,test,"customer.test.024@chinamall.local (already exists)"
skipped,customer.test.025@chinamall.local,test,"customer.test.025@chinamall.local (already exists)"
skipped,customer.test.026@chinamall.local,test,"customer.test.026@chinamall.local (already exists)"
skipped,customer.test.027@chinamall.local,test,"customer.test.027@chinamall.local (already exists)"
skipped,customer.test.028@chinamall.local,test,"customer.test.028@chinamall.local (already exists)"
skipped,customer.test.029@chinamall.local,test,"customer.test.029@chinamall.local (already exists)"
skipped,customer.test.030@chinamall.local,test,"customer.test.030@chinamall.local (already exists)"
skipped,customer.test.031@chinamall.local,test,"customer.test.031@chinamall.local (already exists)"
skipped,customer.test.032@chinamall.local,test,"customer.test.032@chinamall.local (already exists)"
skipped,customer.test.033@chinamall.local,test,"customer.test.033@chinamall.local (already exists)"
skipped,customer.test.034@chinamall.local,test,"customer.test.034@chinamall.local (already exists)"
skipped,customer.test.035@chinamall.local,test,"customer.test.035@chinamall.local (already exists)"
skipped,customer.test.036@chinamall.local,test,"customer.test.036@chinamall.local (already exists)"
skipped,customer.test.037@chinamall.local,test,"customer.test.037@chinamall.local (already exists)"
skipped,customer.test.038@chinamall.local,test,"customer.test.038@chinamall.local (already exists)"
skipped,customer.test.039@chinamall.local,test,"customer.test.039@chinamall.local (already exists)"
skipped,customer.test.040@chinamall.local,test,"customer.test.040@chinamall.local (already exists)"
skipped,customer.test.041@chinamall.local,test,"customer.test.041@chinamall.local (already exists)"
skipped,customer.test.042@chinamall.local,test,"customer.test.042@chinamall.local (already exists)"
skipped,customer.test.043@chinamall.local,test,"customer.test.043@chinamall.local (already exists)"
skipped,customer.test.044@chinamall.local,test,"customer.test.044@chinamall.local (already exists)"
skipped,customer.test.045@chinamall.local,test,"customer.test.045@chinamall.local (already exists)"
skipped,customer.test.046@chinamall.local,test,"customer.test.046@chinamall.local (already exists)"
skipped,customer.test.047@chinamall.local,test,"customer.test.047@chinamall.local (already exists)"
skipped,customer.test.048@chinamall.local,test,"customer.test.048@chinamall.local (already exists)"
skipped,customer.test.049@chinamall.local,test,"customer.test.049@chinamall.local (already exists)"
skipped,customer.test.050@chinamall.local,test,"customer.test.050@chinamall.local (already exists)"
skipped,customer.test.051@chinamall.local,test,"customer.test.051@chinamall.local (already exists)"
skipped,customer.test.052@chinamall.local,test,"customer.test.052@chinamall.local (already exists)"
skipped,customer.test.053@chinamall.local,test,"customer.test.053@chinamall.local (already exists)"
skipped,customer.test.054@chinamall.local,test,"customer.test.054@chinamall.local (already exists)"
skipped,customer.test.055@chinamall.local,test,"customer.test.055@chinamall.local (already exists)"
skipped,customer.test.056@chinamall.local,test,"customer.test.056@chinamall.local (already exists)"
skipped,customer.test.057@chinamall.local,test,"customer.test.057@chinamall.local (already exists)"
skipped,customer.test.058@chinamall.local,test,"customer.test.058@chinamall.local (already exists)"
skipped,customer.test.059@chinamall.local,test,"customer.test.059@chinamall.local (already exists)"
skipped,customer.test.060@chinamall.local,test,"customer.test.060@chinamall.local (already exists)"
skipped,customer.test.061@chinamall.local,test,"customer.test.061@chinamall.local (already exists)"
skipped,customer.test.062@chinamall.local,test,"customer.test.062@chinamall.local (already exists)"
